clean_text,label,Unnamed: 2
[討論] 人終究是往上看的這是事實下面死在多人有屁用根本就是個屁別在說為了人民為了底層了啦今天底層死在多人有屁用唷上面有人要升官還不是要先去恭喜人民第一吃屎吧別在拿人民來說嘴了有夠噁心升官先恭喜在說人往高處看才對往低處看幹麼傻逼嗎--男人腿長 猜食物 蛋糕--,0,
[討論] 台北市議會的質詢居然是....有圖有真相://../24.台北市議會總質詢，台北市長跟台北市議員都整齊穿上中華隊球衣，替中華隊加油。王建民風潮過後，現在應該是棒球熱度最高的一刻了吧。://../1.東京巨蛋外面好冷，來看球的記得穿羽絨。://../.我旁邊現在是記者講中文的好多，穿 的日本人也好多.....--,0,
[討論] 棒協是這次中華隊最大幫手這次中華隊可以打入冠亞決賽棒協的功勞可以說是最佳幫手要是沒有中華民國的幫忙這次中華隊連比賽都沒辦法比還在搞台灣隊的連台灣國旗都沒有的藝術型態是沒法幫助 -----     --,0,
[黑特] 要注意柯文哲幕僚有無過勞情形柯文哲以前很愛吹自己工時每天15小時之類如果是自我要求就算了但怕他會凹部下一起七點半開會檢察官可以調查他過去台北市的部下是否有過勞情形有必要應該公開真相真正好的上司是比成果，不是比工時美國不太會以每天上班16小時為榮那很蠢--,3,
: [討論] 林淑芬指控許銘春愛喝香檳(辦公室)洪申翰：我二月就接受到檢舉啦.. @#$%$  林淑芬：謝以前跟就許銘春他們一起吃喝玩樂.. @##  林淑芬：許前部長以前在辦公室就 @#$$  早說啊，  你們這些人怎麼不早說  講的好像很不熟一樣--,0,
: [黑特] 要注意柯文哲幕僚有無過勞情形※ 引述《2012 (づ′・ω・)》之銘言：: 柯文哲以前很愛吹自己工時每天15小時之類: 如果是自我要求就算了: 但怕他會凹部下一起七點半開會: 檢察官可以調查他過去台北市的部下是否有過勞情形: 有必要應該公開真相: 真正好的上司是比成果，不是比工時: 美國不太會以每天上班16小時為榮: 那很蠢先看當時是否有打卡的記錄如果同時被扣押，理論上還可以找得到對應記錄；但不存在的話，則有可能會變成另一個沒有必要的羅生門...只是目前的調查重點在於「貪污」，而不是《勞基法》罪行且就算真的有，也該是勞動部勞動力發展署來提報調查，不需要、也不適合主動介入，避免淪為茶餘飯後的廢話現階段根本沒有介入到該無關緊要的部分無論到時是否冥冥中注定要翻找上下班資料，這時要做這等的擔憂是多餘的...離題調查反將拖慢結論出爐的時間表，同時民眾黨將加大火力開轟，以表示對當權者權力傲慢的不滿。--抱きしめるものがない腕、夢以外に　手に入れた強さは　寂しさの別の呼名現実を受け入れた時　翌日〈あす〉が見えた　過ぎた日も　他人〈だれ〉のこともきっと変えられない　出逢いにも別れにさえ　理由だけを捜してた、あの頃輝く未来は、君のために　愛しい記憶は僕のために絆はいつでも繋がってる　あの日の約束　胸に僕らは、奇蹟を叶えてく　　　　　　——玉置成実《リザルト》（『機動戰士鋼彈 』第二片尾曲）--,3,
: [討論] 為什麼要堅持台灣隊？淦尼瑪這樣又撕裂台灣了??誰叫你國民黨執政時期棒賽軟屌3輸中國 被南韓屌虐 兩支職棒解散提名吳健保立委 蕭家班橫行地方....歷任中職會長 趙守博 黃鎮台 吳志揚趙守博爛到骨子裡黃鎮台有氣無力 有口碑沒實績 最後搞出轉播大包下台吳志揚引進南韓彈力球 摧殘年輕投手 2017整合失敗少一隊棒賽迷迷不是沒給狗黨機會結果狗黨自己吃屎給蔡其昌做出口碑 人家也不過帽印個台灣 私下喊台灣老喃喃就氣瘋了還要進豬籠 給個撕裂台灣罪名柯連~~~~~~~~~--小蔣日記:七月十四日記：「為陳菊案，美國對我加以壓力和恐嚇，其行為之卑鄙下流令人痛恨，益增余深愛我中國之情操。國與國之間只有利益關係，不可稍存任何之幻想也。」八月二十一日記：「美國大使竟在其使館接見我國之罪犯，行為之卑鄙可悲。美國私通--,1,
[討論] 洪申翰當勞動部長錯在哪呢？？洪申翰當立委的時候 說真的 並不是優秀 也沒有很卓越的問政成績但是他轉當勞動部長為何會一直被砲？？請問一下 他有性騷？有貪污？有販毒？有違建？有關說嗎？有的話請網友指正我記得是沒有這樣不是就贏了一堆國民黨的立委廖先翔、鄭正鈐、呂玉玲、張智倫、陳超明、邱鎮軍、顏寬恆、馬文君、羅廷瑋、謝衣鳳、傅崐萁、陳雪生、翁曉玲、鄭天財以上應該超過10個了吧？？而且還有判刑確定的跟更生人若洪申翰罪不可赦那犯了這些性騷等等之類的國民黨立委該怎麼形容？？還是像 大大說的：國民黨正常民進黨連一隻螞蟻都不能踩死呢？--,0,
[黑特] 黃國昌會把憲法每天帶在身上嗎下流律師  在通過律師考試後就每天把一本口袋大小的憲法帶在身上國昌跟一樣帥也充滿了正義感也偶爾會做出擦邊球的行為也經常被騙不知道他會不會也把中華民國憲法帶身上？--,0,
: [討論] 民進黨變得越來越像中共..沒人憤怒？※ 引述《 (彌十郎)》之銘言：: 民進黨變得越來越像中共: 操控媒體迫害異己  操控媒體??所以那個大白話、少康什麼的，他們天天罵民進黨耶  所以他們不是台灣媒體????還有關鍵時刻也是常常會罵民進黨  像這次的霸凌事件他們就是罵，他們也不是台灣媒體???  說真的媒體有挺民進黨的也有專罵民進黨的，只有是非不分的小草才會說：媒體都  被民進黨控制了。   不過小草也說地球是阿北創造的，所以也不意外: 洗腦群眾: 粉飾太平: 破壞法治: 腐爛司法: 各種關說雙標: 民進黨變得越來越像噁爛的中共: 為什麼沒有人憤怒？  民進黨變得越來越像噁爛的中共的話，那你應該今天就會消失了  那八卦版早在幾年前就會滅版了  我發現小草都有一個特點，就是他們可以在網路上罵完蔡英文母豬後，下一句立馬接  著說：現在在網路上都不能罵民進黨跟蔡英文了，。  說真的啦，小草是不是一堆患有精神分裂症呀???真的看不懂他們--,0,
[討論] 柯文哲當總統會怎麼評中華隊☺各黨重要人物跟棒球的關係：賴清德-獅迷 萬裡國小棒球隊☺蔣萬安-龍迷☺柯文哲-棒球很無聊☹如果柯當總統 會怎麼評這次中華隊會覺得幹嘛浪費錢跟時間去玩小孩子遊戲嗎☹--,3,
: [黑特] 洪申翰認為最重要的是全面杜絕打假卡簡單一點 五點半後直接整棟公司斷水斷電保全每個辦公室清場鎖門七點半前大門不開做不到的話 怎麼防止愛加班的人上班呢--,0,
[討論] 陳菊+許銘春 大小花媽？許銘春公帑辦演唱會 「大小花媽」台上燦笑合體想說大小花媽是什麼看了一下影片原來是陳菊+許銘春=大小花媽://../.是說兩個人真的外型蠻像的是不是好朋友相處久了外型就會越來越像？--,0,
[討論] 台灣有機會開放氣槍獵綠鬣蜥嗎?跟上吐司卡前輩的綠鬣蜥文剛剛在隔壁軍武版看到美國  兩年前拿氣槍打綠鬣蜥的影片://./429?=-看來綠鬣蜥在各國都造成了不小的問題既然民進黨政府最主要的國策之一是抗中保台(政黑點1)那個曾經主張要給每個台灣人一把-15的 也成了川普政府幕僚(政黑點2)台灣有沒有機會也開放空氣槍獵綠鬣蜥的空間?如果要管制殺傷性武器，可以只開放特定娛樂業者包裝成旅遊行程一方面清除生態公害，一方面讓更多台灣人有用槍經驗對於提升抗中保台的情緒也有幫助，對吧?最後推一下影片，有槍、有獵物、有比基尼，這很美國://./4動保假道學走開，人家一部影片快50萬點閱--,0,
[討論] 總統為國家隊應援 小草震怒？法國總統會在世界盃為法國隊加油日本首相會在奧運為日本隊加油國家領袖在國際賽事為國家隊應援超級合理國家隊在一級棒球賽事闖入決賽結果賴清德只是一句話稱讚台灣隊很棒小草分別在八卦、棒球兩板憤怒狂噓反觀民眾黨主席沒在看棒球在臉書發一堆沒營養文字硬要跟風蹭真噁心--,3,
[討論] 薄瓜瓜的父母貪汙殺人 沒有國安危機嗎？://./9926?=202217新聞報導的是公開情報，大家都知道了貪汙已經有問題了，殺人那問題就很重大了新娘家的背景是甚麼？為什麼沒有阻擋這門婚事？重大問題還可以進入我國，難道不會有國安危機嗎？--,0,
[討論] 不要再洗疑美論了超討厭藍白紅一直洗什麼台灣有事美國爸爸不會來幫忙今天就讓你們看看爸爸的氣魄是什麼://../.--,0,
[討論] 民進黨網軍跟詐騙黑道是否同一批人？民進黨為什麼要縱容詐騙黑道？我一直思考這問題思考很久看著四叉貓這種人然後突然想到民進黨哪來這麼多網軍不就是那些吸毒和被通緝然後被抓去黑房不停打電話詐騙那群人這些廉價人不就是最剛好可以拿來當網軍嗎？中共用罪犯綠共也用罪犯真的是一摸一樣跟中共一樣噁爛就是民進黨--,2,
[討論] 馬英九484帶賽啊台灣棒球明明很強阿如題你看這次12強就晉級金牌戰反觀國際賽最弱的那幾年2008 2009台灣派最強的隊伍出去結果輸到脫褲連中國都輸了這什麼鬼馬英九真的帶賽對吧不然怎麼解釋太玄了馬賽--,1,
[討論] 為什麼看個棒球也能芭柚番？剛剛八局上委內瑞拉三分砲讓美委比賽突然緊張起來尤其這場的勝負會影響台灣是否可以繼續晉級隔壁板就出現幾位平常會酸台灣的發一些陰陽怪氣的文章結果現在美國贏了這些人不覺得尷尬嗎://../184.://../5.://../00.--,0,
: [討論] 民進黨變得越來越像中共..沒人憤怒？大家很憤怒但憤怒程度僅止於上網打字發洩憤怒及憤怒後的反應是有程度之分的拜科技發展所賜現在有發達便捷的網路討論區讓大家打字發洩情緒你說的這些現象引發的憤怒程度都在上網打字能抒發的程度內所以憤怒的人上網打打字發洩完就沒事了※ 引述《 (彌十郎)》之銘言：: 民進黨變得越來越像中共: 操控媒體迫害異己: 洗腦群眾: 粉飾太平: 破壞法治: 腐爛司法: 各種關說雙標: 民進黨變得越來越像噁爛的中共: 為什麼沒有人憤怒？--,0,
[討論] 中華隊靠別人打冠軍戰 根本民進黨是這樣的我覺得中華隊這樣不行還要靠別人打冠軍戰這種偷吃步的方式恕敝人不能苟同而且這種方式跟民進黨一樣完全不懂得自省不能這樣好嗎如何？-----      -9260.--,2,
: [討論] 高學歷有屁用黃國昌法學博士還不是挺貪汙※ 引述《0406 (尼可拉斯)》之銘言：: 我看板上一直在講說 找高中職學歷的當勞動部長，這種低學歷不適任: 好啦，黃國昌康乃爾法學博士 這學歷夠高了吧 ? 而且還是專讀法律: 那又如何 ? 法學博士、同時又是律師 還不是挺貪污: 連我小學畢業的阿嬤都知道 做人不能挺貪污，不然國家會完蛋: 還有台大醫科又怎樣 ? 還不是跑去貪汙首先 柯現在連起訴都還沒 更不用說一審 所以無罪推定原則你還不能說他貪汙 等一審判下來後 確定有罪 才能說他貪汙: 北一女斐陶斐、辛辛那提博士，理工女又怎樣 ? 還不是壓榨助理、又貪汙: 還亂告人被反告誣告這確實是她不對 所以她現在忙著打官司 那就看二審怎樣囉她可以去想辦法說服法官她是無罪  這是她的權益就等二審結果吧: 給高學歷的人去當官、當勞動部長，到時候勞資爭議的時候 又在講財團老闆也是人民: 你聽了不吐血才怪，別懷疑這種幹話 就真的有台大醫科的人講過: 找高學歷的人來當勞動部長 在那邊挺財團、挺資方，扯說財團老闆也是人民 也要照顧  阿你就確定低學歷  一定是挺勞工 反財團唷 這有時是看人的骨氣的   挺財團還挺勞工跟學歷沒有絕對關係  是看這個人的思維 好嘛: 找高學歷的人來當法務部長 跑去挺貪污: 這樣真的有比較好 ??學歷高低確實不一定能代表做事能力 郭台銘確實學歷也不高但他見過美國總統  但反過來說 學歷真的沒用嘛綠粉知道護國神山嚴的時候 只有四大能進嗎 連中字輩都進不去當然啦 很多民調都顯示學歷越低越挺 學歷越高越支持藍白當然怎麼解讀看個人 民調顯示就這樣--,3,
: [討論] 民進黨變得越來越像中共..沒人憤怒？都柯文哲害的!如果柯文哲今年沒出來選侯友宜早就贏了!險勝賴清德!!!或是蘭白河 柯文哲當副總統都可以險勝賴清德!!!所以柯文哲之後如果判決無罪2028千萬不能單獨出來選!不小心又會害賴清德選上!※ 引述《 (彌十郎)》之銘言：: 民進黨變得越來越像中共: 操控媒體迫害異己: 洗腦群眾: 粉飾太平: 破壞法治: 腐爛司法: 各種關說雙標: 民進黨變得越來越像噁爛的中共: 為什麼沒有人憤怒？--,3,
罵民進黨是綠共是不是卡了為什麼罵民進黨是綠共時他們為什麼會一直叫我去支持中共我罵民進黨跟中共一樣都是垃圾時我已經連中共都罵了青鳥都這麼沒邏輯嗎還是他們卡上面沒有教怎麼回答這些吸毒詐騙通緝犯組成的網軍是不是腦子爛了--,2,
: [黑特] 「台灣要有新本土政黨」！苗博雅：兩個我在想啊，到時候可以民進黨選幾個區域，叫那個區域的立委成立新的政黨，可能叫做民主台灣黨。之後選舉時候那個區域民進黨叫那區域都投新的政黨，只要總統票支持.以及定時上交金錢，其他時候都讓黨員支持新的政黨。這概念附庸政黨，讓成為政黨聯盟感覺不錯。-----      -5460.--,0,
": [討論] 小草一堆狗屎大學畢業跟人戰學歷我就不懂怎會有人要戰洪學歷 洪好歹也是建中畢也考上台大論基本讀書能力還是有的有些人自己唸報名就錄取的學校到底有啥立場戰洪的學歷啊 (^ ▽^ )而且最根本的問題就是戰學歷最後就會戰到自己支持者 因為比學歷沒完沒了大學高於高中職碩士高於大學同樣大學畢也有名校與學店之差你要戰學歷就要保證不會戰到自己人不要害自己支持者因此傻眼：""我他媽支持你們結果原來你看不起我的學歷肏！""--",3,
[黑特] 兒福聯盟安全下莊了?嬰兒被虐死王育敏辭職白麗芬辭職兒福聯盟錢收一大堆沒什麼作用台灣保母素質有問題所以最安全的人還是自己公婆公婆當保母最安全是不是!!!--,0,
"[新聞] 快新聞／親赴東京巨蛋應援台灣隊！辜仲諒霸氣喊「3000萬歡迎來拿」快新聞／親赴東京巨蛋應援台灣隊！辜仲諒霸氣喊「3000萬歡迎來拿」民視林耿郁台灣隊今（22）日於世界12強棒球錦標賽複賽第二戰，對上強敵美國隊。中國信託金融控股公司董事、中華棒球協會理事長辜仲諒，陪同中職會長蔡其昌，帶隊前往東京巨蛋4強決賽，比賽時間適逢例行董事會，辜董透過視訊上線，但仍心繫台灣隊表現，在會議空檔，關心台灣隊和美國戰局，並適時給予加油鼓勵。台灣隊昨（21）日首場複賽迎戰強敵委內瑞拉，終場以0：2敗陣，為了拚進冠亞軍賽，今日面對美國有輸不得的壓力，但台灣隊征戰東京巨蛋不孤單，不少球迷買機票直衝東京應援。開賽前，有台灣球迷自備大型中華民國國旗，邀請在場台灣人一同合照、呼口號「！」比賽期間，球迷手中揮舞著國旗，大聲喊出熟悉的職棒加油口號、合唱球員應援曲響徹東京巨蛋、宛如台灣隊主場，全場我國球迷上下一心，代表隊最終以8：2拿下勝利。台灣隊於本屆世界十二強棒球錦標賽預賽表現優異，以四勝一負、組分組第二的佳績晉級四強。在代表隊出發前，辜仲諒理事長為鼓勵選手全力以赴、為國爭光，已允諾發放新台幣4,000萬元，希望將錢花在刀口上，用於教練、球員和後勤團隊；若奪冠將自掏腰包，再加碼新台幣3,000萬元獎金，希望健兒們能夠有好表現，順利抱回這筆獎金！://...///2024220451備註：哇靠你說3000就3000啊當你家開銀行的阿，看看阿北為了買商辦，還要先當假老二，在從小草的口袋中弄來錢，洗到木可，轉進自己口袋。要阿北加碼，簡直要他的命。喔對，你家開銀行的，為何中信都不捐錢給阿北？小草是不是又要出征了？----  --",0,
: [新聞] 快訊／許銘春發聲明反擊林淑芬：生命承認當部長都無法掌握好直屬下屬管理能力了。當了市長要管理的主管更多，難道要更多人命，才會發現原來自己多不會看人嗎？風頭上一直撇清責任，跟下屬一樣態度，還想當地方諸侯？--,2,
: [新聞]美國擬取消中國「最惠國待遇」哈哈哈美國果然沒救，這麼蠢的話也說得出來其實嘛美國可以乾脆一點直接說退出就好囉，最惠國待遇是你在就要遵守的規則，不照規矩來你直接退群吧美國以為自己在當老大孤立別人，實際上美國是把自己跟世界孤立。反正川普要跟全世界貿易戰本身就是要違反一切秩序，就乾脆點不要賴在裡面了然後呢未來的世界就是全球繼續照規則貿易，各國對美國就是另一套特別貿易規則，美國貿易壁壘多高其他國對美國關稅就同樣高。美國愛把自己關在牆裡自便，至於說什麼取消別人最惠國待遇這種蠢話就是騙些白癡低能兒的場面話而已※ 引述《 (紅豆湯)》之銘言：: 1.轉錄來源︰:   新聞網>財經: 2.轉錄網址:   ://...//342541: 3.轉錄內容︰:  美中貿易戰大升溫！美國擬取消中國「最惠國待遇」　：中國為時代重大經濟威脅: 發布時間：2024/11/22 11:41: 記者何亞軒／綜合報導: 川普（ ）當選第47任美國總統，讓美中貿易戰逐漸升溫，因中國未能兌現開: 放市場和公平競爭的承諾，美中經濟安全審查委員會（）建議取消中國永久貿易正常: 待遇（，又稱最惠國待遇），並形容中國為「這個時代最重大的經濟威脅」。: 根據美國之音報導，於本周二（19日）提交了一份2024年度報告，內容提到了一系列: 可能改變美中經濟與政策的建議，其中包含取消中國的永久正常貿易關係。: 美中經濟安全審查委員會表示，中國在加入世界貿易組織（）後，未能兌現其開放市: 場和公平競爭的承諾，甚至透過市場准入限制、知識產權竊盜、國家補貼、經濟脅迫等行: 為，破壞了國際貿易體系。委員會主席克利夫蘭（ ）直言，「美國政府: 的更迭不應讓中國有任何可乘之機，也不應讓人對這樣一個共識產生任何懷疑：中國是這: 個時代最重大的經濟威脅。」: 美中貿易戰已爆發5年，而若該提案拍板確定，美國將取消中國的永久貿易正常待遇，中: 國商品面臨更高的關稅，其貿易地位將降為和北韓、古巴和俄羅斯等國家相同的水平。: 附註/心得:: 1980年美國為了聯支制俄，給了支那最惠國待遇，當年蘇聯侵略阿富汗。: 2024年，支那支共政權不僅挑戰美國在印太的地位，也選擇了和侵略烏克蘭的蘇俄站在一: 起，美國當然就要取消支那的最惠國待遇。: 支共側翼常常諷刺台灣人賺支那的錢，卻「搞獨立」，其實這是有嘴說別人，沒嘴說自: 己!: 支那支共政權不也是拿美國的最惠國待遇利益44年，賺美國人的錢，卻和蘇俄站在一起，: 挑戰美國的地位??: 支那有今天的經濟成績，不都靠美國給的嗎?支那人有感恩過美國嗎??--,0,
[討論] 為什麼要堅持台灣隊？台灣隊不是沒有道理是沒必要中華隊這個國家代表隊名稱已經源遠流長約定成俗多數的人都用得很習慣為什麼有些人硬要改成台灣隊呢？這對團結這個國家有任何幫助嗎？我不是反對這個名稱是反對背後的意識形態這樣說到底有什麼好處？連國家隊的名字都不能統一的國家能團結嗎？你們說能嗎？那這樣你們硬要講台灣隊不就是在撕裂台灣嗎？不然你們說一下硬要改台灣隊對這個國家到底有什麼好處？--,0,
[舊聞] 黃國昌助理咆嘯官員10分鐘　驚動整樓層[1331.網址︰://...//12057662.來源︰新聞網3.完整轉錄標題黃國昌助理咆嘯官員10分鐘　驚動整樓層4.完整轉錄內容︰時代力量立委黃國昌問政風格犀利，經常對官員拍桌飆罵，但沒想到今(24日)立法院中興大樓9樓黃國昌辦公室傳出咆哮痛罵聲，驚動該樓層助理及立委，不過開罵的聲音不是黃國昌，而是黃國昌國會助理，事件爆發後，黃國昌出面道歉。黃國昌國會助理鄭凱燁：「你就給我站著，莫名其妙嘛，對啊，你們2個給我過來，當眾講的，禮拜五怎麼跟我講的，給我過來之前，就給我在這邊站著。」一句你給我站住，響徹立法院中興大樓八樓整樓層，罵人的就是他，黃國昌的助理鄭凱燁，而挨罵的是3位中油國會聯絡人，一開罵就是10幾分鐘，連左右鄰居都驚動。民進黨籍立委林靜儀：「這一帶，聽說很多助理有聽到(咆哮)。」同事一場不好說，但助理們私下討論，這才知黃國昌辦公室飆罵官員，已不是第一次。立法院助理：「是因為聲音很大，所以那時候他一罵，我們整層樓都聽到了，大家都跑到門口去看是怎樣，因為他(黃國昌)辦公室，就是會常常會有這種聲音出現，像上禮拜五，上禮拜五也有發生過一次，好像是罵經濟部、工研院吧。」中油、經濟部全都挨罵過，怒罵聲傳遍立院，第一時間中油，黃國昌辦公室，雙方態度異常低調，罵人的助理也早已躲遠遠。黃國昌辦公室助理.記者：「是不是常態啊？你說隔音不好嗎？」怪立法院隔音差，咆嘯聲才會傳遍整樓層，辦公室助理咆嘯官員，黃國昌身段放軟主動道歉。時代力量立委黃國昌：「不管怎麼樣那都不應該，用那樣子那麼大的聲音，用那樣子的詞句去面對，所以針對這件事情，我覺得引發了，這麼多的關注跟困擾，那我也表達了歉意。」滿臉歉意，強調助理因為求好心切，才會一時失控，但監督力道絕對不鬆懈，也不難看出，助理們的處事風格，頗有黃國昌風範。5.附註、心得、想法︰近日霸凌新聞成為關注不知道國昌辦公室的助理是不是習得國昌真傳也是這樣對人大聲咆哮還被人這樣錄下來這算不算一種職場霸凌呢?難怪國昌對這事件異常低調畢竟他如果對這件事伸出一根手指罵人恐怕四根手指也在罵自己吧話說最近都不敢批評國昌了昌粉到處巡邏，講國昌老師壞話，下場好像都很慘耶-----      -950.--,0,
: [新聞]美國擬取消中國「最惠國待遇」看到這新聞一方面不覺意外同時也想笑 當初某些人看川普說保護費就在那酸台灣結果現在川普當選了還是一樣啊照樣釘中共國  (^ ▽^ )誰當選都一樣中國共匪完蛋了美國不會再被你們騙了已經給過機會了最可憐就是中共國老百姓被無能的中國共匪害慘了--,0,
[討論] 吳崢是不是在野黨的人啊？一個發言人，每次發言都是給在野黨添充彈藥，來打自己執政黨。蠢成這樣，我真的懷疑吳崢其實是臥底。完全不會發言，還當黨的發言人。真的很可笑欸。--,2,
[討論] 黃國昌也建中畢業的啊？塔綠班建中畢業被塔綠班吹的多厲害，你們最討厭的黃國昌也是建中畢業的啊，外加台大法律系畢業，塔綠班注意看有畢業康乃爾法學博士，結果被塔綠班批評成好像黃國昌高中畢業似的--,2,
[討論] 公務員被霸凌自殺，民進黨只想慶祝？太噁心了洪申翰當部長王義川能上位都是因為民進黨的官霸凌公務員讓人受不了自殺結果綠營名嘴跟支持者都在說洪申翰上位是適才適所都在慶祝搶救王義川成功連吳崢為什麼被罵都裝看不懂太噁心了公務員被霸凌自殺，民進黨居然只想慶祝--,2,
[討論] 高學歷有屁用黃國昌法學博士還不是挺貪汙我看板上一直在講說 找高中職學歷的當勞動部長，這種低學歷不適任好啦，黃國昌康乃爾法學博士 這學歷夠高了吧 ? 而且還是專讀法律那又如何 ? 法學博士、同時又是律師 還不是挺貪污連我小學畢業的阿嬤都知道 做人不能挺貪污，不然國家會完蛋還有台大醫科又怎樣 ? 還不是跑去貪汙北一女斐陶斐、辛辛那提博士，理工女又怎樣 ? 還不是壓榨助理、又貪汙還亂告人被反告誣告給高學歷的人去當官、當勞動部長，到時候勞資爭議的時候 又在講財團老闆也是人民你聽了不吐血才怪，別懷疑這種幹話 就真的有台大醫科的人講過找高學歷的人來當勞動部長 在那邊挺財團、挺資方，扯說財團老闆也是人民 也要照顧找高學歷的人來當法務部長 跑去挺貪污這樣真的有比較好 ??--,3,
